Date,Open,High,Low,Close
06/20/2019,"26,665.38","26,798.63","26,539.69","26,753.17"
06/19/2019,"26,490.16","26,569.75","26,415.05","26,504.00"
06/18/2019,"26,228.88","26,527.19","26,227.76","26,465.54"
06/17/2019,"26,108.53","26,165.78","26,049.80","26,112.53"
06/14/2019,"26,076.36","26,162.28","25,988.09","26,089.61"
06/13/2019,"26,036.94","26,146.91","25,995.71","26,106.77"
06/12/2019,"26,040.30","26,082.10","25,958.66","26,004.83"
06/11/2019,"26,180.59","26,248.67","25,998.87","26,048.51"
06/10/2019,"26,090.22","26,210.61","26,054.31","26,062.68"
06/07/2019,"25,768.72","26,072.75","25,768.72","25,983.94"
06/06/2019,"25,567.45","25,800.30","25,518.05","25,720.66"
06/05/2019,"25,451.00","25,544.66","25,373.58","25,539.57"
06/04/2019,"24,962.82","25,343.77","24,962.82","25,332.18"
06/03/2019,"24,830.16","24,935.21","24,680.57","24,819.78"
05/31/2019,"25,046.31","25,046.31","24,809.51","24,815.04"
05/30/2019,"25,139.94","25,218.54","25,066.75","25,169.88"
05/29/2019,"25,231.46","25,231.46","24,938.24","25,126.41"
05/28/2019,"25,616.55","25,717.63","25,342.28","25,347.77"
05/24/2019,"25,551.07","25,670.81","25,496.20","25,585.69"
05/23/2019,"25,657.99","25,657.99","25,328.09","25,490.47"
05/22/2019,"25,818.46","25,878.21","25,755.11","25,776.61"
05/21/2019,"25,782.34","25,898.27","25,779.61","25,877.33"
05/20/2019,"25,655.31","25,751.71","25,560.55","25,679.90"
05/17/2019,"25,719.95","25,948.74","25,657.78","25,764.00"
05/16/2019,"25,692.14","25,957.63","25,692.14","25,862.68"
05/15/2019,"25,400.13","25,724.89","25,341.94","25,648.02"
05/14/2019,"25,384.03","25,688.96","25,384.03","25,532.05"
05/13/2019,"25,568.06","25,568.06","25,222.51","25,324.99"
05/10/2019,"25,763.72","26,019.32","25,469.86","25,942.37"
05/09/2019,"25,878.85","25,884.89","25,517.39","25,828.36"
05/08/2019,"25,933.79","26,118.10","25,889.41","25,967.33"
05/07/2019,"26,276.90","26,276.90","25,789.71","25,965.09"
05/06/2019,"26,160.62","26,476.27","26,033.95","26,438.48"
05/03/2019,"26,379.14","26,534.96","26,370.09","26,504.95"
